index,country,year,sex,age,suicides_no,population,suicides_100k,gdp_yearly,gdp_capita,generation
4916,Canada,1985,male,75+ years,111,390200,28.45,"364,756,499,451",15522,G.I. Generation
4917,Canada,1985,male,55-74 years,502,1841000,27.27,"364,756,499,451",15522,G.I. Generation
4918,Canada,1985,male,25-34 years,605,2240500,27.0,"364,756,499,451",15522,Boomers
4919,Canada,1985,male,35-54 years,774,3046800,25.4,"364,756,499,451",15522,Silent
4920,Canada,1985,male,15-24 years,560,2224600,25.17,"364,756,499,451",15522,Generation X
4921,Canada,1985,female,35-54 years,255,3025600,8.43,"364,756,499,451",15522,Silent
4922,Canada,1985,female,55-74 years,166,2092200,7.93,"364,756,499,451",15522,G.I. Generation
4923,Canada,1985,female,25-34 years,148,2257500,6.56,"364,756,499,451",15522,Boomers
4924,Canada,1985,female,75+ years,34,642900,5.29,"364,756,499,451",15522,G.I. Generation
4925,Canada,1985,female,15-24 years,85,2143200,3.97,"364,756,499,451",15522,Generation X
4926,Canada,1985,male,5-14 years,13,1844400,0.7,"364,756,499,451",15522,Generation X
4927,Canada,1985,female,5-14 years,5,1751000,0.29,"364,756,499,451",15522,Generation X
4928,Canada,1986,male,75+ years,143,394400,36.26,"377,437,927,312",16062,G.I. Generation
4929,Canada,1986,male,25-34 years,719,2248800,31.97,"377,437,927,312",16062,Boomers
4930,Canada,1986,male,35-54 years,878,3098100,28.34,"377,437,927,312",16062,Silent
4931,Canada,1986,male,55-74 years,520,1862900,27.91,"377,437,927,312",16062,G.I. Generation
4932,Canada,1986,male,15-24 years,570,2116700,26.93,"377,437,927,312",16062,Generation X
4933,Canada,1986,female,35-54 years,307,3087900,9.94,"377,437,927,312",16062,Silent
4934,Canada,1986,female,55-74 years,191,2115500,9.03,"377,437,927,312",16062,G.I. Generation
4935,Canada,1986,female,25-34 years,172,2278400,7.55,"377,437,927,312",16062,Boomers
4936,Canada,1986,female,75+ years,36,653100,5.51,"377,437,927,312",16062,G.I. Generation
4937,Canada,1986,female,15-24 years,109,2061500,5.29,"377,437,927,312",16062,Generation X
4938,Canada,1986,male,5-14 years,20,1836900,1.09,"377,437,927,312",16062,Generation X
4939,Canada,1986,female,5-14 years,5,1744900,0.29,"377,437,927,312",16062,Generation X
4940,Canada,1987,male,25-34 years,709,2290800,30.95,"431,316,742,081",18124,Boomers
4941,Canada,1987,male,75+ years,117,408700,28.63,"431,316,742,081",18124,G.I. Generation
4942,Canada,1987,male,55-74 years,535,1896900,28.2,"431,316,742,081",18124,G.I. Generation
4943,Canada,1987,male,35-54 years,874,3179200,27.49,"431,316,742,081",18124,Silent
4944,Canada,1987,male,15-24 years,532,2085000,25.52,"431,316,742,081",18124,Generation X
4945,Canada,1987,female,35-54 years,298,3176700,9.38,"431,316,742,081",18124,Silent
4946,Canada,1987,female,55-74 years,171,2148300,7.96,"431,316,742,081",18124,G.I. Generation
4947,Canada,1987,female,25-34 years,178,2317300,7.68,"431,316,742,081",18124,Boomers
4948,Canada,1987,female,75+ years,47,679400,6.92,"431,316,742,081",18124,G.I. Generation
4949,Canada,1987,female,15-24 years,100,2019400,4.95,"431,316,742,081",18124,Generation X
4950,Canada,1987,male,5-14 years,25,1843600,1.36,"431,316,742,081",18124,Generation X
4951,Canada,1987,female,5-14 years,5,1752800,0.29,"431,316,742,081",18124,Generation X
4952,Canada,1988,male,75+ years,130,424900,30.6,"507,354,351,182",21069,G.I. Generation
4953,Canada,1988,male,25-34 years,679,2326400,29.19,"507,354,351,182",21069,Boomers
4954,Canada,1988,male,55-74 years,525,1924900,27.27,"507,354,351,182",21069,G.I. Generation
4955,Canada,1988,male,15-24 years,549,2041900,26.89,"507,354,351,182",21069,Generation X
4956,Canada,1988,male,35-54 years,827,3266900,25.31,"507,354,351,182",21069,Silent
4957,Canada,1988,female,35-54 years,322,3274100,9.83,"507,354,351,182",21069,Silent
4958,Canada,1988,female,25-34 years,168,2350300,7.15,"507,354,351,182",21069,Boomers
4959,Canada,1988,female,55-74 years,142,2175900,6.53,"507,354,351,182",21069,G.I. Generation
4960,Canada,1988,female,75+ years,44,708300,6.21,"507,354,351,182",21069,G.I. Generation
4961,Canada,1988,female,15-24 years,96,1968700,4.88,"507,354,351,182",21069,Generation X
4962,Canada,1988,male,5-14 years,24,1854500,1.29,"507,354,351,182",21069,Generation X
4963,Canada,1988,female,5-14 years,4,1763800,0.23,"507,354,351,182",21069,Generation X
4964,Canada,1989,male,75+ years,131,444600,29.46,"565,055,743,243",23188,G.I. Generation
4965,Canada,1989,male,25-34 years,666,2352400,28.31,"565,055,743,243",23188,Boomers
4966,Canada,1989,male,15-24 years,528,1997200,26.44,"565,055,743,243",23188,Generation X
4967,Canada,1989,male,55-74 years,501,1946000,25.75,"565,055,743,243",23188,G.I. Generation
4968,Canada,1989,male,35-54 years,850,3366100,25.25,"565,055,743,243",23188,Silent
