,G,Date,Tm,Opp,Result,PTS,Player
0,15,1984-11-24,CHI,POR,L,30.0,Michael Jordan
1,24,1984-12-12,CHI,DET,L,21.0,Michael Jordan
2,37,1985-01-12,CHI,CLE,L,24.0,Michael Jordan
3,39,1985-01-16,CHI,NJN,L,27.0,Michael Jordan
4,47,1985-02-01,CHI,PHI,L,31.0,Michael Jordan
5,70,1985-03-20,CHI,SAS,L,38.0,Michael Jordan
6,74,1985-03-28,CHI,CLE,L,35.0,Michael Jordan
7,78,1985-04-05,CHI,PHI,L,40.0,Michael Jordan
8,80,1985-04-08,CHI,IND,L,22.0,Michael Jordan
9,82,1985-04-13,CHI,NJN,L,29.0,Michael Jordan
10,5,1986-03-17,CHI,ATL,L,17.0,Michael Jordan
11,6,1986-03-19,CHI,PHI,L,12.0,Michael Jordan
12,7,1986-03-21,CHI,BOS,L,20.0,Michael Jordan
13,12,1986-04-01,CHI,MIL,L,28.0,Michael Jordan
14,16,1986-04-08,CHI,ATL,L,30.0,Michael Jordan
15,18,1986-04-13,CHI,CLE,L,29.0,Michael Jordan
16,4,1986-11-07,CHI,DET,L,33.0,Michael Jordan
17,7,1986-11-12,CHI,WSB,L,28.0,Michael Jordan
18,13,1986-11-29,CHI,GSW,L,40.0,Michael Jordan
19,15,1986-12-03,CHI,UTA,L,45.0,Michael Jordan
20,17,1986-12-06,CHI,SAS,L,43.0,Michael Jordan
21,29,1987-01-02,CHI,BOS,L,34.0,Michael Jordan
22,36,1987-01-19,CHI,IND,L,32.0,Michael Jordan
23,43,1987-02-01,CHI,DET,L,38.0,Michael Jordan
24,48,1987-02-14,CHI,NYK,W,33.0,Michael Jordan
25,55,1987-03-01,CHI,NJN,L,30.0,Michael Jordan
26,60,1987-03-09,CHI,ATL,L,31.0,Michael Jordan
27,61,1987-03-11,CHI,PHI,L,49.0,Michael Jordan
28,64,1987-03-16,CHI,HOU,L,44.0,Michael Jordan
29,65,1987-03-17,CHI,DAL,L,21.0,Michael Jordan
30,66,1987-03-19,CHI,LAC,W,40.0,Michael Jordan
31,67,1987-03-21,CHI,SAC,W,40.0,Michael Jordan
32,68,1987-03-22,CHI,POR,L,46.0,Michael Jordan
33,74,1987-04-01,CHI,IND,L,26.0,Michael Jordan
34,75,1987-04-03,CHI,WSB,L,32.0,Michael Jordan
35,76,1987-04-04,CHI,ATL,L,31.0,Michael Jordan
36,2,1987-11-10,CHI,ATL,W,29.0,Michael Jordan
37,3,1987-11-11,CHI,NJN,W,31.0,Michael Jordan
38,7,1987-11-18,CHI,WSB,W,30.0,Michael Jordan
39,11,1987-11-25,CHI,MIL,W,33.0,Michael Jordan
40,12,1987-11-27,CHI,DAL,L,25.0,Michael Jordan
41,13,1987-11-28,CHI,HOU,W,34.0,Michael Jordan
42,16,1987-12-04,CHI,DEN,L,23.0,Michael Jordan
43,17,1987-12-05,CHI,SAS,L,40.0,Michael Jordan
44,21,1987-12-15,CHI,DET,L,38.0,Michael Jordan
45,33,1988-01-14,CHI,CLE,L,28.0,Michael Jordan
46,39,1988-01-26,CHI,IND,L,34.0,Michael Jordan
47,40,1988-01-27,CHI,PHI,W,37.0,Michael Jordan
48,45,1988-02-04,CHI,PHO,W,37.0,Michael Jordan
49,47,1988-02-10,CHI,NJN,L,34.0,Michael Jordan
50,48,1988-02-12,CHI,MIL,W,27.0,Michael Jordan
51,49,1988-02-13,CHI,DET,L,27.0,Michael Jordan
52,59,1988-03-07,CHI,NYK,L,38.0,Michael Jordan
53,71,1988-04-01,CHI,POR,W,38.0,Michael Jordan
